NAME,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+,TEAM
?àÍ≤ΩÎØ?3B,2.46,42,172,172,147,28,54,9,0,2,69,24,1,0,12,9,0,10,1,0,4,0.367,0.436,0.469,0.905,0.07,150.1,Doosan,
Í∞ïÏäπ??2B,2.44,43,185,184,175,27,59,11,4,9,105,33,5,3,8,0,1,57,2,0,2,0.337,0.362,0.6,0.962,0.067,147.5,Doosan,
?ëÏùòÏßÄ,C,1.41,38,159,158,144,19,50,6,0,6,74,37,1,0,9,2,1,18,3,0,4,0.347,0.384,0.514,0.898,0.053,136.8,Doosan
Ï°∞Ïàò??CF,0.99,36,92,87,82,19,26,1,0,0,27,5,17,1,4,0,0,5,1,5,1,0.317,0.345,0.329,0.674,-0.015,86.4,Doosan,
?ºÎ™®??RF,0.97,30,127,127,113,17,34,8,2,4,58,26,2,0,9,0,0,13,1,0,5,0.301,0.339,0.513,0.852,0.04,127.6,Doosan,
Î∞ïÏ???SS,0.95,34,118,117,99,16,21,5,1,4,40,14,0,0,15,2,0,32,0,1,1,0.212,0.325,0.404,0.729,-0.001,95.8,Doosan,
?ïÏàòÎπ?CF,0.73,42,190,186,159,31,44,5,2,1,56,12,14,3,21,3,1,17,4,4,3,0.277,0.366,0.352,0.718,-0.003,94.7,Doosan,
?¥Ïú†Ï∞?2B,0.34,17,8,8,8,5,4,1,0,0,5,1,1,1,0,0,0,1,0,0,0,0.5,0.5,0.625,1.125,0.256,291.5,Doosan,
ÍπÄ?¨Ìôò,LF,0.32,41,168,166,139,24,33,8,0,8,65,27,0,0,24,2,2,53,5,0,3,0.237,0.351,0.468,0.819,0.013,106.9,Doosan
ÍπÄÍ∏∞Ïó∞,C,0.31,18,52,52,49,6,18,2,0,1,23,4,0,1,3,0,0,8,3,0,0,0.367,0.404,0.469,0.873,0.051,135.6,Doosan
?ëÏÑù??1B,0.27,43,174,174,153,22,37,10,0,7,68,29,2,2,17,3,0,36,10,0,1,0.242,0.328,0.444,0.772,0.005,101,Doosan,
ÍπÄÎØºÌòÅ,1B,0.25,5,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.228,270.6,Doosan
ÍπÄ?¨Ìò∏,SS,0.06,5,18,16,11,4,3,2,0,0,5,2,0,0,4,0,0,1,1,2,1,0.273,0.438,0.455,0.893,0.062,139,Doosan
?úÏòà??SS,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Doosan,
?çÏÑ±??RF,0.03,3,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1,0.099,171.9,Doosan,
?•Ïäπ??C,0.02,9,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,-0.062,52.1,Doosan,
?àÏäπ??C,0.01,4,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.146,-14.1,Doosan,
?ÑÎã§ÎØ?RF,-0.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.328,-152.6,Doosan,
?§Ï???C,-0.07,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.328,-152.6,Doosan,
?ÑÎ???2B,-0.25,24,47,47,46,6,12,1,0,2,19,6,0,1,0,0,0,7,2,0,1,0.261,0.255,0.413,0.668,-0.061,50.7,Doosan,
ÍπÄ?Ä??CF,-0.28,26,58,56,47,7,6,1,0,0,7,4,1,1,7,1,0,16,0,2,1,0.128,0.25,0.149,0.399,-0.108,17.6,Doosan,
ÍπÄ?∏ÌÉú,LF,-0.42,10,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,-0.123,2.9,Doosan
