NAME,TEAM,POSITION,TOTAL RAA,G,GS,IP,IFH,FC,PO,ASS,E,BBO,BBO%,F%,RF9,RANGE RAA,ERR RAA,DP RAA,BT RAA,/144
오태곤,SSG,1B,5.28,23,4,79.0,2,0,77,5,0,36,94.4,100.0,9.34,4.96,0.2,,0.12,21.13
고명준,SSG,1B,4.96,32,31,238.0,9,0,198,20,1,114,91.2,99.5,8.24,4.38,0.59,,-0.01,17.86
김성현,SSG,3B,3.83,9,7,67.0,1,0,4,17,0,11,90.9,100.0,2.82,3.55,0.24,0.0,0.03,29.0
최경모,SSG,2B,1.97,10,2,38.2,2,0,6,15,1,3,0.0,95.5,4.89,2.13,-0.36,0.19,,10.5
정준재,SSG,2B,1.74,3,3,15.1,0,0,2,9,0,8,100.0,100.0,6.46,1.69,0.06,,,41.86
박지환,SSG,2B,1.01,9,8,69.0,4,0,17,25,1,19,73.7,97.7,5.48,1.25,-0.24,0.0,,13.19
김찬형,SSG,SS,0.67,1,0,3.0,0,0,2,0,0,2,100.0,100.0,6.0,0.66,0.01,,,19.39
강진성,SSG,1B,0.55,1,1,8.0,1,0,6,1,0,7,85.7,100.0,7.88,0.54,0.02,,,13.32
오태곤,SSG,3B,0.42,1,0,1.0,0,0,0,1,0,0,,100.0,9.0,0.41,0.01,,,1.68
정준재,SSG,SS,0.22,1,0,2.0,0,0,0,1,0,0,,100.0,4.5,0.21,0.01,,,5.32
최준우,SSG,2B,0.19,1,0,2.0,0,0,1,0,0,0,,100.0,4.5,0.19,0.01,,,13.97
김성현,SSG,2B,0.09,13,9,83.0,5,0,14,24,1,26,76.9,97.4,4.12,0.28,-0.19,0.0,,0.69
최경모,SSG,3B,0.08,14,2,33.0,0,0,4,4,1,0,,88.9,2.18,0.46,-0.38,,,0.4
박성한,SSG,SS,0.07,42,42,362.0,14,0,70,109,4,87,79.3,97.8,4.45,-0.73,0.8,0.0,,0.23
정준재,SSG,3B,0.01,1,0,2.0,0,0,0,0,0,0,,,0.0,0.0,0.01,,,0.16
최경모,SSG,SS,0.0,1,0,2.0,0,0,0,0,0,0,,,0.0,0.0,0.01,,,0.01
김찬형,SSG,2B,-0.06,2,1,11.0,0,0,4,1,0,5,100.0,100.0,4.09,-0.1,0.04,,,-1.71
고명준,SSG,3B,-0.33,1,0,1.0,0,0,0,0,0,0,,,0.0,-0.33,0.0,,,-1.18
안상현,SSG,2B,-0.56,21,19,150.0,3,0,24,46,4,32,78.1,94.6,4.2,0.56,-0.93,-0.19,,-3.85
김찬형,SSG,3B,-0.82,2,1,10.0,1,0,0,3,0,3,66.7,100.0,2.7,-0.86,0.04,,,-23.73
